"name","run.no.in.std.order","run.no","run.no.std.rp","test","size","L1_hit","L1_load"
"126","9",126,"9.9","seq-inverted-simd-aligned","2000",10140015210, 12098018147
"127","14",127,"14.9","seq-inverted-simd-aligned","4000",27840041760, 54306081459
"128","6",128,"6.9","seq","2000",13266019899, 22198033297
"129","15",129,"15.9","parallel-inverted-simd-aligned","4000",37800056700, 53814080721
"130","1",130,"1.9","seq","1000",7024010536, 8040012060
"131","8",131,"8.9","seq-inverted-simd","2000",10510015765, 14132021198
"132","11",132,"11.9","seq","4000",56916085374, 134548201822
"133","7",133,"7.9","seq-simd","2000",7274010911, 16150024225
"134","10",134,"10.9","parallel-inverted-simd-aligned","2000",6222009333, 8204012306
"135","4",135,"4.9","seq-inverted-simd-aligned","1000",6750010125, 6930010395
"136","12",136,"12.10","seq-simd","4000",17598026397, 86552129828
"137","6",137,"6.10","seq","2000",13198019797, 22126033189
"138","7",138,"7.10","seq-simd","2000",7318010977, 16196024294
"139","4",139,"4.10","seq-inverted-simd-aligned","1000",6672010008, 6854010281
"140","5",140,"5.10","parallel-inverted-simd-aligned","1000",1102001653, 1210001815
"141","2",141,"2.10","seq-simd","1000",6306009459, 7380011070
"142","9",142,"9.10","seq-inverted-simd-aligned","2000",10212015318, 12174018261
"143","1",143,"1.10","seq","1000",7056010584, 8072012108
"144","13",144,"13.10","seq-inverted-simd","4000",31636047454, 70328105492
"145","10",145,"10.10","parallel-inverted-simd-aligned","2000",6234009351, 8208012312
"146","3",146,"3.10","seq-inverted-simd","1000",6876010314, 7162010743
"147","8",147,"8.10","seq-inverted-simd","2000",10550015825, 14184021276
"148","15",148,"15.10","parallel-inverted-simd-aligned","4000",36322054483, 52256078384
"149","14",149,"14.10","seq-inverted-simd-aligned","4000",27828041742, 54268081402
"150","11",150,"11.10","seq","4000",56946085419, 134390201585
